timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-05-27T13:17:17,codecarbon,71ff1756-4ba4-49f4-9f37-ca6c3453cc20,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0073277999999845,1.1202585592870381e-08,1.528778841247575e-06,42.5,0.0,10.0,6.827270832698357e-08,0.0,5.598611111660526e-09,7.38713194386441e-08,Denmark,DNK,,,,Windows-11-10.0.26100-SP0,3.13.3,3.0.2,32,13th Gen Intel(R) Core(TM) i9-13900HX,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,12.0564,55.7123,15.726432800292969,machine,N,1.0
2025-05-27T13:18:12,codecarbon,71315333-783a-44c8-b0fc-cca7edd9f35b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.504136199999266,2.166794432925868e-06,4.298033810960258e-06,42.5,54.949902605208,10.0,5.65356958332662e-06,7.315283630000488e-06,1.3192736111098688e-06,1.4288126824436975e-05,Denmark,DNK,,,,Windows-11-10.0.26100-SP0,3.13.3,3.0.2,32,13th Gen Intel(R) Core(TM) i9-13900HX,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,12.0564,55.7123,15.726432800292969,machine,N,1.0
2025-05-27T13:18:49,codecarbon,7590c808-d156-41aa-82ad-715b6d843f0d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.028033200000209,2.6077743911094825e-07,9.302449920415924e-06,42.5,178.0322517909606,10.0,3.1753402777465256e-07,1.3377788479996752e-06,6.428777777627046e-08,1.7196006535505985e-06,Denmark,DNK,,,,Windows-11-10.0.26100-SP0,3.13.3,3.0.2,32,13th Gen Intel(R) Core(TM) i9-13900HX,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,12.0564,55.7123,15.726432800292969,machine,N,1.0
2025-05-27T13:19:43,codecarbon,cfde0acf-6e87-400a-b133-0bd5b99abbe5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.4283417999995436,1.7135583144990436e-06,4.000446172894799e-06,42.5,43.017263569871716,10.0,5.035742361097719e-06,5.098615189999892e-06,1.1650708333339328e-06,1.1299428384431543e-05,Denmark,DNK,,,,Windows-11-10.0.26100-SP0,3.13.3,3.0.2,32,13th Gen Intel(R) Core(TM) i9-13900HX,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,12.0564,55.7123,15.726432800292969,machine,N,1.0
