process,timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
baseline_feature_extraction,2025-05-27T22:39:31,codecarbon,b219d51a-e58d-4db7-a0ea-a1f3270ce940,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1937.8631597,0.0056649642324674,2.923304570867853e-06,42.5,52.23552650966621,10.0,0.0213009608634027,0.0110444638355639,0.0050100928247222,0.0373555175236889,Denmark,DNK,capital region,,,Windows-11-10.0.26100-SP0,3.13.3,3.0.2,32,13th Gen Intel(R) Core(TM) i9-13900HX,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,12.6014,55.6482,15.726432800292969,machine,N,1.0
extended_feature_extraction,2025-05-27T23:09:10,codecarbon,01fcb1b9-c79b-433f-8899-08d74a87ed00,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1773.4086798000003,0.0066597283947046,3.755326378269274e-06,42.5,19.88304831475316,10.0,0.01928385792375,0.02009507302049,0.0045361920013888,0.0439151229456289,Denmark,DNK,capital region,,,Windows-11-10.0.26100-SP0,3.13.3,3.0.2,32,13th Gen Intel(R) Core(TM) i9-13900HX,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,12.6014,55.6482,15.726432800292969,machine,N,1.0
formula_feature_extraction,2025-05-27T23:18:32,codecarbon,5afd748f-ef7e-40eb-9c62-e96cb8e4eb77,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,556.2106448000004,0.002303985714077074,4.14228986017614e-06,42.5,20.28637917222455,10.0,0.006092268296666719,0.007667402800584006,0.0014331130377777859,0.015192784135028514,Denmark,DNK,capital region,,,Windows-11-10.0.26100-SP0,3.13.3,3.0.2,32,13th Gen Intel(R) Core(TM) i9-13900HX,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,12.6014,55.6482,15.726432800292969,machine,N,1.0
main_formula,2025-05-27T15:54:13,codecarbon,ccba0e23-4b45-403c-ba1c-14aded626008,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.8116018000000622,1.8754497325501746e-06,2.31080036115005e-06,42.5,38.45166713851998,10.0,5.77401104164134e-06,5.260559764000763e-06,1.3323908333303632e-06,1.2366961638972467e-05,Denmark,DNK,,,,Windows-11-10.0.26100-SP0,3.13.3,3.0.2,32,13th Gen Intel(R) Core(TM) i9-13900HX,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,12.0564,55.7123,15.726432800292969,machine,N,1.0
classifiers_fitting,2025-05-27T18:42:48,codecarbon,e2e98c74-c955-43f6-ae11-0cdf7df55250,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7472.285712500001,0.023659239202127678,3.1662653319785884e-06,42.5,7.505089444927436,10.0,0.08580288132312525,0.050032117247884,0.020177129369166633,0.1560121279401759,Denmark,DNK,,,,Windows-11-10.0.26100-SP0,3.13.3,3.0.2,32,13th Gen Intel(R) Core(TM) i9-13900HX,1,1 x NVIDIA GeForce RTX 4070 Laptop GPU,12.0564,55.7123,15.726432800292969,machine,N,1.0
